Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Zachodniopomorskie;32;1722885;839680;162496;597169;349171;247998;80015;883205;154556;534806;335507;199299;193843;;;;;;;;;;;;
Powiat białogardzki;3201;49408;24253;5143;17122;10201;6921;1988;25155;4878;14997;9624;5373;5280;;;;;;;;;;;;
gm. m. Białogard;3201011;24919;11893;2390;8422;5013;3409;1081;13026;2304;7723;4901;2822;2999;;;;;;;;;;;;
Białogard;0949690;24919;11893;2390;8422;5013;3409;1081;13026;2304;7723;4901;2822;2999;;;;;;;;;;;;
gm.w. Białogard;3201022;8022;4098;900;2885;1749;1136;313;3924;825;2381;1582;799;718;;;;;;;;;;;;
Białogórzyno;0302706;400;210;60;142;80;62;8;190;43;116;75;41;31;;;;;;;;;;;;
Buczek;0302741;348;173;49;112;75;37;12;175;31;112;83;29;32;;;;;;;;;;;;
Byszyno;0302764;305;150;27;108;68;40;15;155;35;84;56;28;36;;;;;;;;;;;;
Czarnowęsy;0302787;322;174;36;128;79;49;10;148;34;93;58;35;21;;;;;;;;;;;;
Dargikowo;0302801;148;72;14;52;30;22;6;76;13;51;39;12;12;;;;;;;;;;;;
Dębczyno;0302818;173;83;23;52;31;21;8;90;20;53;38;15;17;;;;;;;;;;;;
Góry;0302824;69;30;6;23;13;10;1;39;4;28;16;12;7;;;;;;;;;;;;
Kamosowo;0302847;581;296;81;191;113;78;24;285;60;172;112;60;53;;;;;;;;;;;;
Klępino Białogardzkie;0302876;129;70;14;53;33;20;3;59;10;32;23;9;17;;;;;;;;;;;;
Kościernica;0302882;334;174;33;133;78;55;8;160;43;101;60;41;16;;;;;;;;;;;;
Laski;0302899;826;409;88;287;168;119;34;417;68;262;171;91;87;;;;;;;;;;;;
Lulewice;0302913;205;101;21;74;41;33;6;104;33;61;40;21;10;;;;;;;;;;;;
Lulewiczki;0302920;109;57;16;34;21;13;7;52;10;31;19;12;11;;;;;;;;;;;;
Łęczno;0302936;332;173;36;125;78;47;12;159;26;95;66;29;38;;;;;;;;;;;;
Moczyłki;0302971;166;83;17;58;36;22;8;83;19;47;30;17;17;;;;;;;;;;;;
Nawino;0302988;324;166;38;116;73;43;12;158;38;90;63;27;30;;;;;;;;;;;;
Nosówko;0303002;186;86;22;59;28;31;5;100;19;63;41;22;18;;;;;;;;;;;;
Pękanino;0303019;96;49;13;30;20;10;6;47;9;30;19;11;8;;;;;;;;;;;;
Podwilcze;0303031;615;331;55;238;143;95;38;284;49;176;101;75;59;;;;;;;;;;;;
Pomianowo;0303060;397;201;41;147;92;55;13;196;47;110;81;29;39;;;;;;;;;;;;
Pustkowo;0303077;231;132;26;95;61;34;11;99;19;63;38;25;17;;;;;;;;;;;;
Redlino;0303120;331;169;32;123;78;45;14;162;32;99;68;31;31;;;;;;;;;;;;
Rogowo;0303143;351;164;41;108;67;41;15;187;42;110;82;28;35;;;;;;;;;;;;
Rościno;0303150;207;101;21;73;45;28;7;106;25;60;40;20;21;;;;;;;;;;;;
Rychówko;0303166;198;100;25;66;39;27;9;98;29;58;43;15;11;;;;;;;;;;;;
Rzyszczewo;0303189;145;76;12;57;34;23;7;69;15;44;29;15;10;;;;;;;;;;;;
Żeleźno;0303203;204;114;19;90;50;40;5;90;20;59;36;23;11;;;;;;;;;;;;
Żelimucha;0303210;103;54;13;36;22;14;5;49;12;27;18;9;10;;;;;;;;;;;;
Żytelkowo;0303226;187;100;21;75;53;22;4;87;20;54;37;17;13;;;;;;;;;;;;
gm. m-w. Karlino;3201033;9418;4697;1035;3326;1989;1337;336;4721;1022;2809;1798;1011;890;;;;;;;;;;;;
m. Karlino;3201034;6036;2968;626;2123;1274;849;219;3068;649;1843;1149;694;576;;;;;;;;;;;;
Karlino;0949968;6036;2968;626;2123;1274;849;219;3068;649;1843;1149;694;576;;;;;;;;;;;;
w.  Karlino;3201035;3382;1729;409;1203;715;488;117;1653;373;966;649;317;314;;;;;;;;;;;;
