Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Pomorskie;22;2276174;1110084;233824;767616;467254;300362;108644;1166090;221263;700670;457093;243577;244157;;;;;;;;;;;;
Powiat bytowski;2201;78144;38989;8949;26987;16410;10577;3053;39155;8539;23734;15640;8094;6882;;;;;;;;;;;;
gm.w. Borzytuchom;2201012;2954;1502;368;1008;646;362;126;1452;359;865;612;253;228;;;;;;;;;;;;
Borzytuchom;0740837;959;491;127;324;209;115;40;468;123;289;203;86;56;;;;;;;;;;;;
Chotkowo;0740843;239;121;35;75;52;23;11;118;42;56;41;15;20;;;;;;;;;;;;
Dąbrówka;0740850;590;305;78;199;135;64;28;285;66;179;131;48;40;;;;;;;;;;;;
Jutrzenka;0740866;272;132;31;93;54;39;8;140;34;76;58;18;30;;;;;;;;;;;;
Krosnowo;0740903;199;106;25;72;46;26;9;93;16;59;37;22;18;;;;;;;;;;;;
Niedarzyno;0740910;238;122;29;83;54;29;10;116;33;65;44;21;18;;;;;;;;;;;;
Osieki;0740926;286;147;28;106;61;45;13;139;26;87;58;29;26;;;;;;;;;;;;
Struszewo;0740949;171;78;15;56;35;21;7;93;19;54;40;14;20;;;;;;;;;;;;
gm.m-w. Bytów;2201023;24829;12168;2835;8422;5164;3258;911;12661;2672;7843;5111;2732;2146;;;;;;;;;;;;
m. Bytów  ;2201024;17121;8269;1773;5816;3492;2324;680;8852;1673;5508;3462;2046;1671;;;;;;;;;;;;
Bytów;0977290;17121;8269;1773;5816;3492;2324;680;8852;1673;5508;3462;2046;1671;;;;;;;;;;;;
w.  Bytów  ;2201025;7708;3899;1062;2606;1672;934;231;3809;999;2335;1649;686;475;;;;;;;;;;;;
Dąbie;0740955;269;150;42;99;59;40;9;119;30;74;55;19;15;;;;;;;;;;;;
Gostkowo;0740978;1067;538;141;377;247;130;20;529;155;313;208;105;61;;;;;;;;;;;;
Grzmiąca;0741009;179;95;33;57;36;21;5;84;13;57;43;14;14;;;;;;;;;;;;
Mądrzechowo;0741021;516;246;69;166;110;56;11;270;88;159;118;41;23;;;;;;;;;;;;
Mokrzyn;0741038;154;78;21;56;42;14;1;76;20;45;33;12;11;;;;;;;;;;;;
Niezabyszewo;0741044;849;410;109;277;164;113;24;439;111;271;192;79;57;;;;;;;;;;;;
Płotowo;0741073;238;126;31;84;52;32;11;112;28;66;46;20;18;;;;;;;;;;;;
Pomysk Mały;0741104;380;187;45;130;87;43;12;193;60;107;78;29;26;;;;;;;;;;;;
Pomysk Wielki;0741133;784;398;93;279;184;95;26;386;91;238;174;64;57;;;;;;;;;;;;
Rekowo;0741179;406;208;50;134;80;54;24;198;32;130;86;44;36;;;;;;;;;;;;
Rzepnica;0741216;1006;518;192;307;197;110;19;488;147;302;216;86;39;;;;;;;;;;;;
Sierzno;0741222;221;118;38;71;52;19;9;103;29;63;46;17;11;;;;;;;;;;;;
Świątkowo;0741251;255;123;29;85;57;28;9;132;28;85;56;29;19;;;;;;;;;;;;
Udorpie;0741297;989;511;126;348;218;130;37;478;111;308;212;96;59;;;;;;;;;;;;
Ząbinowice;0741311;395;193;43;136;87;49;14;202;56;117;86;31;29;;;;;;;;;;;;
gm.w. Czarna Dąbrówka;2201032;5756;2924;651;2049;1252;797;224;2832;715;1647;1080;567;470;;;;;;;;;;;;
Bochowo;0741848;141;65;23;38;24;14;4;76;27;41;25;16;8;;;;;;;;;;;;
Bochówko;0741854;101;53;16;34;23;11;3;48;13;29;22;7;6;;;;;;;;;;;;
Czarna Dąbrówka;0741860;1110;575;122;416;235;181;37;535;106;335;198;137;94;;;;;;;;;;;;
Gliśnica;0741890;36;22;6;16;13;3;0;14;3;8;5;3;3;;;;;;;;;;;;
Jasień;0741943;464;241;65;158;101;57;18;223;56;125;88;37;42;;;;;;;;;;;;
Jerzkowice;0742003;269;128;23;95;62;33;10;141;43;80;54;26;18;;;;;;;;;;;;
