"Podkarpackie","18",2127286
"Powiat bieszczadzki","1801",22465
"gm.w. Czarna","1801032",2421
"Bystre","0347962",59
"Chrewt","0347979",22
"Czarna Dolna","0347991",363
"Czarna Górna","0348000",874
"Lipie","0348016",201
"Michniowiec","0348022",148
"Polana","0348039",392
"Rabe","0348074",198
"Żłobek","0348080",164
"gm.w. Lutowiska","1801052",2161
"Brzegi Górne","0356122",7
"Chmiel","0356145",157
"Dwernik","0356151",213
"Dźwiniacz Górny","0356180",41
"Lutowiska","0356205",762
"Nasiczne","0356240",70
"Smolnik","0356257",180
"Stuposiany","0356270",337
"Tarnawa Niżna","0356317",41
"Ustrzyki Górne","0356323",89
"Wołosate","0356330",47
"Zatwarnica","0356346",217
"gm. m-w. Ustrzyki Dolne  ",1801083,17883
"m. Ustrzyki Dolne  ","1801084",9635
"Ustrzyki Dolne","0953817",9635
"w.  Ustrzyki Dolne  ","1801085",8248
"Bandrów Narodowy","0361502",464
"Brelików","0358210",210
"Brzegi Dolne","0361519",411
"Daszówka","0361525",43
"Dźwiniacz Dolny","0361531",221
"Hoszowczyk","0361548",136
"Hoszów","0361554",293
"Jałowe","0361560",173
"Jureczkowa","0361583",284
"Krościenko","0361608",585
"Leszczowate","0358233",92
"Liskowate","0361614",210
"Łobozew Dolny","0361637",278
"Łobozew Górny","0361650",285
"Łodyna","0361666",276
"Moczary","0361689",291
"Nowosielce Kozickie","0361695",155
"Ropienka","0358339",710
"Równia","0361703",607
"Serednica","0358380",93
"Stańkowa","0358405",228
"Teleśnica Oszwarowa","0361710",216
"Ustjanowa Dolna","0361732",265
"Ustjanowa Górna","0361749",798
"Wojtkowa","0361761",473
"Wojtkówka","0361815",237
"Zadwórze","0361838",59
"Zawadka","0358523",155
"Powiat brzozowski","1802",66539
"gm. m-w. Brzozów",1802013,26687
"m. Brzozów","1802014",7676
"Brzozów","0952841",7676
"w.  Brzozów","1802015",19011
"Górki","0345495",1550
"Grabownica Starzeńska","0345615",3213
"Humniska","0345704",4585
"Przysietnica","0345822",3941
"Stara Wieś","0346046",3482
"Turze Pole","0346135",1039
"Zmiennica","0346218",1201
"gm.w. Domaradz","1802022",6161
"Barycz","0348358",962
"Domaradz","0348507",3054
"Golcowa","0348708",2145
"gm.w. Dydnia","1802032",8223
"Dydnia","0350668",1520
"Grabówka","0350697",541
"Jabłonica Ruska","0350740",6
"Jabłonka","0350757",1111
"Końskie","0350817",454
"Krzemienna","0350846",429
"Krzywe","0350881",418
"Niebocko","0350898",1596
"Niewistka","0350987",298
"Obarzym","0351030",347
"Temeszów","0351107",338
"Ulucz","0351142",101
"Witryłów","0351159",482
"Wydrna","0351225",582
"gm.w. Haczów","1802042",9339
"Buków","0351231",348
"Haczów","0351248",3304
"Jabłonica Polska","0351320",1096
"Jasionów","0351389",1362
"Malinówka","0351449",1006
"Trześniów","0351515",1246
"Wzdów","0351544",977
"gm.w. Jasienica Rosielna","1802052",7606
"Blizne","0352213",3216
"Jasienica Rosielna","0352360",2179
"Orzechówka","0352510",1494
"Wola Jasienicka","0352667",717
"gm.w. Nozdrzec","1802062",8523
"Hłudno","0357363",936
"Huta Poręby","0357699",188
"Izdebki","0357713",2739
"Nozdrzec","0357771",1314
"Siedliska","0357972",433
"Wara","0357995",1140
"Wesoła","0358115",1760
"Wołodź","0358204",13
"Powiat dębicki","1803",134877
"gm. m. Dębica","1803011",47218
"Dębica","0982233",47218
"gm. m-w. Brzostek",1803023,13178
"m. Brzostek  ","1803024",2639
"Brzostek","0814493",2639
"w.  Brzostek  ","1803025",10539
"Bączałka","0814487",265
"Bukowa","0814524",503
"Głobikówka","0814576",236
"Gorzejowa","0814582",717
"Grudna Dolna","0814613",421
"Grudna Górna","0814636",534
