"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
1,"MAŁOPOLSKIE",12,12,"gorlicki",5,"05","05","05","05","120505","nietnica",,1,1,1,0,,"2012-10-08 09:54"
2,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Rabka-Zdrój (gmina miejsko-wiejska)",12,12,"121112","Rabka-Zdrój",,1,3,2,4,,"2012-10-08 09:58"
3,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","sobieszczany kolonia 182",,1,1,1,0,,"2012-10-08 10:23"
4,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","Niedrzwica Duża","Żużlowa",1,1,1,0,,"2012-10-08 10:26"
5,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Rzezawa (gmina wiejska)",7,"07","120107","Rzezawa","u. GAJ",1,3,1,0,,"2012-10-08 10:32"
6,"WIELKOPOLSKIE",30,30,"wolsztyński",29,29,"Siedlec (gmina wiejska)",2,"02","302902","Wšchabno",,1,2,1,0,,"2012-10-08 10:44"
7,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Rabka-Zdrój (gmina miejsko-wiejska)",12,12,"121112","Rabka","Kilińskiego",1,2,3,0,"Słabe łšcze dla firmy -- tylko 2Mb","2012-10-08 10:54"
8,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Wierzchosławice (gmina wiejska)",11,11,"121611","Bobrowniki Małe",,1,3,1,0,,"2012-10-08 11:48"
9,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Skała (gmina miejsko-wiejska)",10,10,"120610","Smardzowice",,1,3,2,1,,"2012-10-08 12:06"
10,"MAŁOPOLSKIE",12,12,"mylenicki",9,"09","Lubień (gmina wiejska)",2,"02","120902","skomielna biała",,1,2,1,0,,"2012-10-08 12:29"
11,"LUBUSKIE",8,"08","słubicki",5,"05","Rzepin (gmina miejsko-wiejska)",4,"04","080504","Rzepin","stary rynek",1,3,1,0,,"2012-10-08 12:33"
12,"MAŁOPOLSKIE",12,12,"olkuski",12,12,"Trzycišż (gmina wiejska)",6,"06","121206","Jangrot",,1,2,3,0,"Jest","2012-10-08 12:34"
13,"MAŁOPOLSKIE",12,12,"Nowy Sšcz",62,62,"Nowy Sšcz (gmina miejska)",1,"01","126201","Kamionka Wielka",,1,1,1,0,,"2012-10-08 12:42"
14,"LUBUSKIE",8,"08","słubicki",5,"05","Rzepin (gmina miejsko-wiejska)",4,"04","080504","Rzepin","Moniuszki ",1,2,3,0," brak możliwoci technicznych, a kilka lat temu prowadzono linię do Starocina w tym czasie się staralimy o telefon stacjonarny a dostalimy tylko radiowy ( nie zrobiono w czsie tej inwestycji rozgałężników by podłšczyć domki  a jest ich ok 20 )stwierdziło że nie bedzie ponosić kosztów inwestycji bo jej realizacji możemy zmienić operatora .. haha wkraczamy w wiek xxi i cofamy się do redniowiecza.... :(( chętni na internet  sš !!!!","2012-10-08 12:45"
15,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zabierzów (gmina wiejska)",16,16,"120616","Zabierzów","Wšska",1,1,1,0,,"2012-10-08 13:16"
16,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zabierzów (gmina wiejska)",16,16,"120616","Zabierzów","Wšska",1,2,1,0,,"2012-10-08 13:18"
17,"MAŁOPOLSKIE",12,12,"mylenicki",9,"09","Lubień (gmina wiejska)",2,"02","120902","Lubień",,1,2,1,0,,"2012-10-08 13:39"
18,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Skała (gmina miejsko-wiejska)",10,10,"120610","skała",,1,1,1,0,,"2012-10-08 13:59"
19,"MAŁOPOLSKIE",12,12,"Kraków",61,61,"Kraków (gmina miejska)",1,"01","126101","Kraków - Swozowice",,1,5,1,0,,"2012-10-08 14:30"
20,"MAŁOPOLSKIE",12,12,"Kraków",61,61,"Kraków (gmina miejska)",1,"01","126101","Kraków - Swozowice",,1,5,1,0,,"2012-10-08 14:30"
21,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zabierzów (gmina wiejska)",16,16,"120616","Zabierzów","Wšska",1,1,1,0,,"2012-10-08 14:46"
22,"LUBUSKIE",8,"08","słubicki",5,"05","Rzepin (gmina miejsko-wiejska)",4,"04","080504","Rzepin","Bolesława Chrobrego",1,2,1,0,,"2012-10-08 15:28"
23,"ŁÓDZKIE",10,10,"łódzki wschodni",6,"06","Tuszyn (gmina miejsko-wiejska)",11,11,"100611","Tuszynek Majoracki","Kasztelańska",1,3,3,0,"koszt inwestycji zbyt wysoki aby postawić szafę Onu (okolo 200 tys. zł) przy ulicy Kasztelańskiej + koszt kabla długoci 600 m

Na ulicy Kasztelańskiej zainteresowanych gospodarstw domowych jest około 40!","2012-10-08 15:31"
24,"MAZOWIECKIE",14,14,"otwocki",17,17,"Wišzowna (gmina wiejska)",8,"08","141708","Pęclin",,1,4,1,0,,"2012-10-08 15:37"
25,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Zakliczyn (gmina miejsko-wiejska)",14,14,"121614","Dzierżaniny",,1,3,1,0,,"2012-10-08 16:05"
26,"MAŁOPOLSKIE",12,12,"limanowski",7,"07","Limanowa (gmina miejska)",1,"01","120701","siekierczyna",,1,1,1,0,,"2012-10-08 16:34"
27,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Klembów (gmina wiejska)",7,"07","143407","Wola Rasztowska","Polna",1,1,1,0,,"2012-10-08 16:45"
28,"WIELKOPOLSKIE",30,30,"chodzieski",1,"01","Chodzież (gmina wiejska)",3,"03","300103","Stróżewko",,1,3,1,0,,"2012-10-08 17:19"
29,"MAZOWIECKIE",14,14,"pruszkowski",21,21,"Pruszków (gmina miejska)",2,"02","142102","Wolica","Wodna",1,2,1,0,,"2012-10-08 17:35"
30,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","Niedrzwica Duża","Kolejowa",1,1,1,0,,"2012-10-08 18:01"
31,"MAŁOPOLSKIE",12,12,"owięcimski",13,13,"Brzeszcze (gmina miejsko-wiejska)",2,"02","121302","zasole",,1,3,0,0,"Mała przepustowoć lini ","2012-10-08 18:29"
32,"MAŁOPOLSKIE",12,12,"wielicki",19,19,"Biskupice (gmina wiejska)",1,"01","121901","Tomaszkowice",,1,4,1,0,,"2012-10-08 18:30"
33,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","Niedrzwica Duża","Za Torami",1,1,1,0,,"2012-10-08 18:50"
34,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Stawiguda (gmina wiejska)",11,11,"281411","Gryliny",,1,1,1,0,,"2012-10-08 19:39"
35,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Rzezawa (gmina wiejska)",7,"07","120107","Rzezawa","Gaj",1,3,1,0,,"2012-10-08 19:55"
36,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Radłów (gmina miejsko-wiejska)",5,"05","121605","Radlow","Kolejowa",1,1,2,1,,"2012-10-08 20:04"
37,"WIELKOPOLSKIE",30,30,"pilski",19,19,"Piła (gmina miejska)",1,"01","301901","Piła","Kołobrzeska",1,3,1,0,,"2012-10-08 20:17"
38,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","wištniki Górne (gmina miejsko-wiejska)",14,14,"120614","Wrzšsowice",,2,0,0,0,,"2012-10-08 21:01"
