lp	wojewodztwo	woj	powiat	pow	gmina	gmi	miasto	lok	ubiegal	operator	odpowiedz	termininw	innaodp	data
1	MAŁOPOLSKIE	12	gorlicki	5	Uście Gorlickie (gmina wiejska)	10	Śnietnica		1	1	1	0		2012-10-08 09:54
2	MAŁOPOLSKIE	12	nowotarski	11	Rabka-Zdrój (gmina miejsko-wiejska)	12	Rabka-Zdrój		1	3	2	4		2012-10-08 09:58
3	LUBELSKIE	6	lubelski	9	Niedrzwica Duża (gmina wiejska)	10	sobieszczany kolonia 182		1	1	1	0		2012-10-08 10:23
4	LUBELSKIE	6	lubelski	9	Niedrzwica Duża (gmina wiejska)	10	Niedrzwica Duża	Żużlowa	1	1	1	0		2012-10-08 10:26
5	MAŁOPOLSKIE	12	bocheński	1	Rzezawa (gmina wiejska)	7	Rzezawa	u. GAJ	1	3	1	0		2012-10-08 10:32
6	WIELKOPOLSKIE	30	wolsztyński	29	Siedlec (gmina wiejska)	2	Wąchabno		1	2	1	0		2012-10-08 10:44
7	MAŁOPOLSKIE	12	nowotarski	11	Rabka-Zdrój (gmina miejsko-wiejska)	12	Rabka	Kilińskiego	1	2	3	0	Słabe łącze dla firmy -- tylko 2Mb	2012-10-08 10:54
8	MAŁOPOLSKIE	12	tarnowski	16	Wierzchosławice (gmina wiejska)	11	Bobrowniki Małe		1	3	1	0		2012-10-08 11:48
9	MAŁOPOLSKIE	12	krakowski	6	Skała (gmina miejsko-wiejska)	10	Smardzowice		1	3	2	1		2012-10-08 12:06
10	MAŁOPOLSKIE	12	myślenicki	9	Lubień (gmina wiejska)	2	skomielna biała		1	2	1	0		2012-10-08 12:29
11	LUBUSKIE	8	słubicki	5	Rzepin (gmina miejsko-wiejska)	4	Rzepin	stary rynek	1	3	1	0		2012-10-08 12:33
12	MAŁOPOLSKIE	12	olkuski	12	Trzyciąż (gmina wiejska)	6	Jangrot		1	2	3	0	Jest	2012-10-08 12:34
13	MAŁOPOLSKIE	12	Nowy Sącz	62	Nowy Sącz (gmina miejska)	1	Kamionka Wielka		1	1	1	0		2012-10-08 12:42
14	LUBUSKIE	8	słubicki	5	Rzepin (gmina miejsko-wiejska)	4	Rzepin	Moniuszki 	1	2	3	0	 brak możliwości technicznych, a kilka lat temu prowadzono linię do Starościna w tym czasie się staraliśmy o telefon stacjonarny a dostaliśmy tylko radiowy ( nie zrobiono w czsie tej inwestycji rozgałężników by podłączyć domki  a jest ich ok 20 )stwierdziło że nie bedzie ponosić kosztów inwestycji bo jej realizacji możemy zmienić operatora .. haha wkraczamy w wiek xxi i cofamy się do średniowiecza.... :(( chętni na internet  są !!!!	2012-10-08 12:45
15	MAŁOPOLSKIE	12	krakowski	6	Zabierzów (gmina wiejska)	16	Zabierzów	Wąska	1	1	1	0		2012-10-08 13:16
16	MAŁOPOLSKIE	12	krakowski	6	Zabierzów (gmina wiejska)	16	Zabierzów	Wąska	1	2	1	0		2012-10-08 13:18
17	MAŁOPOLSKIE	12	myślenicki	9	Lubień (gmina wiejska)	2	Lubień		1	2	1	0		2012-10-08 13:39
18	MAŁOPOLSKIE	12	krakowski	6	Skała (gmina miejsko-wiejska)	10	skała		1	1	1	0		2012-10-08 13:59
19	MAŁOPOLSKIE	12	Kraków	61	Kraków (gmina miejska)	1	Kraków - Swozowice		1	5	1	0		2012-10-08 14:30
20	MAŁOPOLSKIE	12	Kraków	61	Kraków (gmina miejska)	1	Kraków - Swozowice		1	5	1	0		2012-10-08 14:30
21	MAŁOPOLSKIE	12	krakowski	6	Zabierzów (gmina wiejska)	16	Zabierzów	Wąska	1	1	1	0		2012-10-08 14:46
22	LUBUSKIE	8	słubicki	5	Rzepin (gmina miejsko-wiejska)	4	Rzepin	Bolesława Chrobrego	1	2	1	0		2012-10-08 15:28
23	ŁÓDZKIE	10	łódzki wschodni	6	Tuszyn (gmina miejsko-wiejska)	11	Tuszynek Majoracki	Kasztelańska	1	3	3	0	"koszt inwestycji zbyt wysoki aby postawić szafę Onu (okolo 200 tys. zł) przy ulicy Kasztelańskiej + koszt kabla długości 600 m
Na ulicy Kasztelańskiej zainteresowanych gospodarstw domowych jest około 40!"	2012-10-08 15:31
24	MAZOWIECKIE	14	otwocki	17	Wiązowna (gmina wiejska)	8	Pęclin		1	4	1	0		2012-10-08 15:37
25	MAŁOPOLSKIE	12	tarnowski	16	Zakliczyn (gmina miejsko-wiejska)	14	Dzierżaniny		1	3	1	0		2012-10-08 16:05
26	MAŁOPOLSKIE	12	limanowski	7	Limanowa (gmina miejska)	1	siekierczyna		1	1	1	0		2012-10-08 16:34
27	MAZOWIECKIE	14	wołomiński	34	Klembów (gmina wiejska)	7	Wola Rasztowska	Polna	1	1	1	0		2012-10-08 16:45
28	WIELKOPOLSKIE	30	chodzieski	1	Chodzież (gmina wiejska)	3	Stróżewko		1	3	1	0		2012-10-08 17:19
29	MAZOWIECKIE	14	pruszkowski	21	Pruszków (gmina miejska)	2	Wolica	Wodna	1	2	1	0		2012-10-08 17:35
30	LUBELSKIE	6	lubelski	9	Niedrzwica Duża (gmina wiejska)	10	Niedrzwica Duża	Kolejowa	1	1	1	0		2012-10-08 18:01
31	MAŁOPOLSKIE	12	oświęcimski	13	Brzeszcze (gmina miejsko-wiejska)	2	zasole		1	3	0	0	Mała przepustowość lini 	2012-10-08 18:29
32	MAŁOPOLSKIE	12	wielicki	19	Biskupice (gmina wiejska)	1	Tomaszkowice		1	4	1	0		2012-10-08 18:30
33	LUBELSKIE	6	lubelski	9	Niedrzwica Duża (gmina wiejska)	10	Niedrzwica Duża	Za Torami	1	1	1	0		2012-10-08 18:50
34	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Stawiguda (gmina wiejska)	11	Gryźliny		1	1	1	0		2012-10-08 19:39
35	MAŁOPOLSKIE	12	bocheński	1	Rzezawa (gmina wiejska)	7	Rzezawa	Gaj	1	3	1	0		2012-10-08 19:55
36	MAŁOPOLSKIE	12	tarnowski	16	Radłów (gmina miejsko-wiejska)	5	Radlow	Kolejowa	1	1	2	1		2012-10-08 20:04
37	WIELKOPOLSKIE	30	pilski	19	Piła (gmina miejska)	1	Piła	Kołobrzeska	1	3	1	0		2012-10-08 20:17
38	MAŁOPOLSKIE	12	krakowski	6	Świątniki Górne (gmina miejsko-wiejska)	14	Wrząsowice		2	0	0	0		2012-10-08 21:01
39	MAŁOPOLSKIE	12	tarnowski	16	Radłów (gmina miejsko-wiejska)	5	wola radłowska		1	1	3	0	niska szybkość łącza szerokopasmowego- 2mb. Łącze nie spełnia zdecydowanej większości usług multimedialnych 	2012-10-08 21:01
40	MAŁOPOLSKIE	12	tarnowski	16	Zakliczyn (gmina miejsko-wiejska)	14	Paleśnica 104		1	3	1	0		2012-10-08 21:38
41	LUBELSKIE	6	lubelski	9	Niedrzwica Duża (gmina wiejska)	10	czółna		2	0	0	0		2012-10-08 22:40
42	MAZOWIECKIE	14	otwocki	17	Wiązowna (gmina wiejska)	8	Pęclin		1	4	1	0		2012-10-08 22:41
43	MAŁOPOLSKIE	12	krakowski	6	Zabierzów (gmina wiejska)	16	szczyglice	jurajska	1	3	1	0		2012-10-08 23:45
44	MAŁOPOLSKIE	12	wadowicki	18	Wieprz (gmina wiejska)	10	gierałtowice		1	2	0	0	Internet do 1 Mb, nieopłaca sie inwestowac w szybsza siec:-(	2012-10-09 00:48
45	LUBELSKIE	6	zamojski	20	Zwierzyniec (gmina miejsko-wiejska)	15	Sochy		1	2	1	0		2012-10-09 08:19
46	WIELKOPOLSKIE	30	kaliski	7	Żelazków (gmina wiejska)	11	Anielin		1	2	1	0		2012-10-09 08:54
47	WARMIŃSKO-MAZURSKIE	28	nidzicki	11	Janowiec Kościelny (gmina wiejska)	1	Janowiec Kościelny		2	0	0	0		2012-10-09 09:03
