"nazwa główna","szerokość geograficzna","długość geograficzna","identyfikator jednostki podziału terytorialnego kraju"
"Osiedle Kowalczyka","50°16'13''","19°13'50''","2475011"
"Osiedle Struga","50°43'04''","16°39'19''","0202021"
"Abisynia","51°53'14''","17°49'23''","3020065"
"Abisynia","52°49'31''","15°39'10''","0806032"
"Abisynia","52°50'46''","16°01'59''","3002032"
"Abisynia","50°29'49''","17°58'14''","1605024"
"Abisynia","53°55'45''","17°50'14''","2206032"
"Abisynia","53°02'20''","18°43'03''","0463011"
"Abisynia","52°07'01''","22°29'53''","1426132"
"Abisynia","52°03'36''","22°31'35''","1426132"
"Abisynia","51°41'15''","23°00'22''","0613022"
"Abisynia","50°42'60''","23°53'26''","0604042"
"Abisynia","50°00'13''","18°38'01''","2467011"
"Abram","51°36'35''","19°39'14''","1010022"
"Abramowce","53°59'40''","19°53'48''","2815085"
"Abramowice","51°12'31''","22°34'54''","0663011"
"Abramowice","49°47'31''","20°11'39''","1207042"
"Abramowice Kościelne","51°11'29''","22°37'46''","0609052"
"Abramowice Prywatne","51°12'17''","22°37'14''","0609052"
"Abramów","51°27'22''","22°18'57''","0608022"
"Abramów","51°02'49''","22°32'01''","0609035"
"Abramów","50°41'54''","22°42'01''","0602062"
"Abramów","49°34'41''","19°10'49''","2417152"
"Abramów-Kolonia","50°41'56''","22°42'50''","0602062"
"Abramówka","51°19'04''","23°07'47''","0610012"
"Abramy","52°15'15''","21°47'59''","1412095"
"Achrymowce","53°30'46''","23°32'50''","2011052"
"Adama","50°24'51''","20°12'39''","1208042"
"Osiedle Adama Asnyka","51°12'04''","16°08'10''","0262011"
"Osiedle Adama Asnyka","51°44'48''","18°04'30''","3061011"
"Osiedle Adama","50°13'04''","19°04'24''","2469011"
"Adamcowa","49°38'10''","19°55'31''","1209022"
"Adamczowice","50°39'15''","21°28'17''","2609032"
"Kolonia Adamczowice","50°39'31''","21°28'32''","2609032"
"Adamczycha","53°06'25''","21°15'46''","1415012"
"Jadamczyki","49°38'11''","20°03'52''","1207102"
"Adamczykowa Rola","49°31'20''","19°37'37''","1211052"
"Adamek","51°04'14''","20°30'23''","2605085"
"Adamierz","52°09'09''","17°47'43''","3023085"
"Adamierz","50°12'20''","20°53'56''","1204052"
"Adamin","52°09'49''","18°50'06''","3009092"
"Adaminowo","52°35'42''","19°16'19''","0418132"
"Adaminów","51°34'36''","21°07'59''","1425052"
"Adamka","53°08'49''","21°39'09''","1415062"
"Adamka","51°45'59''","18°50'14''","1011062"
"Adamki","51°39'53''","18°29'42''","1014025"
"Adamki","54°00'05''","17°06'54''","2203052"
"Adamki","52°59'56''","19°07'23''","0405062"
"Adamki","51°46'04''","22°34'01''","0615062"
"Adamki","51°30'33''","23°28'54''","0619062"
"Adamki","49°40'29''","19°22'29''","2417042"
"Adamkowo","53°30'51''","17°41'57''","0416032"
"Adamkówka","49°45'57''","19°38'13''","1215032"
"Adamkówka","49°45'26''","19°43'02''","1215032"
"Adamkówka","49°29'16''","19°38'53''","1211052"
"Adamowa","49°43'03''","19°45'40''","1215065"
"Adamowa Góra","52°15'48''","20°12'33''","1428042"
"Adamowe Łączki","53°57'58''","23°18'17''","2009022"
"Adamowice","50°30'50''","18°17'59''","1611054"
"Adamowice","50°07'54''","18°19'47''","2412042"
"Adamowice","52°14'04''","19°17'53''","1002062"
"Adamowice","52°12'46''","19°19'24''","1002062"
"Adamowice","51°56'28''","20°28'51''","1438025"
"Adamowice","50°22'43''","19°51'18''","1208022"
"Adamowizna","54°10'40''","23°07'40''","2012082"
"Adamowizna","52°04'21''","20°38'11''","1405045"
"Adamowizna A","52°04'12''","20°38'18''","1405045"
"Adamowizna B","52°04'28''","20°38'35''","1405045"
"Adamowo","51°54'33''","16°25'55''","3013072"
"Adamowo","51°57'49''","16°41'26''","3013035"
"Adamowo","52°05'36''","16°07'37''","3029035"
"Adamowo","52°26'56''","18°02'41''","3010045"
"Adamowo","54°09'16''","19°15'41''","2804012"
"Adamowo","53°54'22''","19°22'44''","2216032"
"Adamowo","53°42'18''","19°20'55''","2807065"
"Adamowo","53°23'19''","17°18'16''","0413045"
"Adamowo","52°46'52''","18°45'24''","0401062"
"Adamowo","53°25'40''","19°09'52''","0402075"
"Adamowo","52°56'58''","19°16'36''","0408032"
"Adamowo","52°50'34''","19°29'12''","1427032"
"Adamowo","53°10'50''","19°55'13''","2803045"
"Adamowo","52°54'45''","19°53'34''","1437015"
"Adamowo","52°54'51''","20°10'37''","1413052"
"Adamowo","52°54'47''","21°16'39''","1411022"
"Adamowo","52°39'51''","20°42'06''","1420082"
"Adamowo","52°39'41''","22°27'14''","2013025"
"Adamowo","53°52'12''","20°59'26''","2814025"
"Adamowo","52°34'08''","20°36'27''","1420062"
"Adamowo","52°34'24''","20°53'24''","1414045"
"Adamowo","53°35'17''","22°19'46''","2004055"
"Adamowo","52°21'52''","23°07'23''","2010052"
"Adamowo","52°21'35''","23°07'39''","2010052"
"Adamowo","52°44'03''","21°29'40''","1435022"
"Adamowo-Osiedle","54°09'42''","19°19'47''","2804012"
"Adamowo-Zastawa","52°21'46''","23°07'19''","2010052"
